date,efficiency,lower,upper
2020-03-01,0.18048394395060152,0.16660327181051535,0.19375109446891428
2020-04-01,0.09709622525631814,0.08867928546775523,0.10536030013361881
2020-05-01,0.08159095035654934,0.07323449932417107,0.09306620503273151
2020-06-01,0.08882287994719786,0.08128864964058832,0.09876307233929531
2020-07-01,0.10355355975265049,0.09494976146094695,0.11190030396199092
2020-08-01,0.09840905957368146,0.09043151655787253,0.10743160025718368
2020-09-01,0.10853681918990385,0.09947009457321006,0.11548195739137546
2020-10-01,0.09901302367894951,0.09276978699942798,0.10634485254360129
2020-11-01,0.1006620348943709,0.09417806801312938,0.10631930812425158
2020-12-01,0.11072838155965178,0.10445288843600871,0.11668562056434659
2021-01-01,0.11649291094740705,0.11252619551376201,0.12135425903498939
2021-02-01,0.13522025662548964,0.1279724252621781,0.14196331836877304
2021-03-01,0.16375804032288344,0.15614616850548074,0.1732810965539716
2021-04-01,0.19131518979616297,0.18263787335527779,0.2059748993268073
2021-05-01,0.2100331056688397,0.19540832502519176,0.22262229229275182
2021-06-01,0.2434629171370666,0.22727522770477682,0.25821958064802814
2021-07-01,0.223318998052362,0.21218862881832334,0.23597650016002364
2021-08-01,0.15943633342330749,0.15145585032115938,0.17049477172891817
2021-09-01,0.12293429961957905,0.11696983630955247,0.13294764051289032
2021-10-01,0.11588507347433252,0.10963833975339168,0.12402174243603505
2021-11-01,0.11746359953678365,0.11179354950402391,0.12301657303287764
2021-12-01,0.1398459661130688,0.13184057058922957,0.15227809283297725
2022-01-01,0.12473104555128682,0.11679186548961155,0.13325752740547528
2022-02-01,0.13979061453929686,0.12692892717446078,0.15195092814509462
2022-03-01,0.19251858310957942,0.17268944539237624,0.21253027491028978
2022-04-01,0.19547184944293855,0.17994037920546752,0.20880758360858193
2022-05-01,0.17893921232780763,0.16993690696840164,0.1920549661934092
2022-06-01,0.18802095295525467,0.1748370474192499,0.20257667592213482
2022-07-01,0.18753739024451094,0.1725539127403762,0.20296218789073103
2022-08-01,0.1755184762933092,0.1643269660342028,0.1944682724179094
2022-09-01,0.18792977391587046,0.1751986082487778,0.20201083428396613
2022-10-01,0.2116746419203505,0.19750498187502652,0.23460641323011097
