date,gini_index,lower,upper
2020-03-01,0.12220864829149816,0.10351779500140137,0.1326548680935828
2020-04-01,0.11715283023064707,0.10519022700135444,0.13317205614634384
2020-05-01,0.14877344711359258,0.12480166201699665,0.1712918899870086
2020-06-01,0.13277707756431922,0.11344624756380912,0.15222049005570523
2020-07-01,0.10683635806236969,0.08289107805085935,0.1264392807792879
2020-08-01,0.11217804510625312,0.09238743711753405,0.12793403870916925
2020-09-01,0.11483646807100009,0.09378483095372428,0.13164891796951858
2020-10-01,0.09992222624259155,0.08341979700089648,0.11300186875508543
2020-11-01,0.09709772641258985,0.07662017624568442,0.11209027987766713
2020-12-01,0.09477421997376706,0.08376391663605569,0.10853388881144753
2021-01-01,0.07622418000909535,0.06708441426696653,0.08560423048565893
2021-02-01,0.10005722361995062,0.08890556725202296,0.11302900478232074
2021-03-01,0.11434066636790796,0.10185423245431627,0.1264961340912302
2021-04-01,0.12658153521521986,0.11317353175157116,0.13958959121916792
2021-05-01,0.1253786869293284,0.1119876340083796,0.13857000133970537
2021-06-01,0.10485426849852295,0.09111257785985542,0.11628673801493915
2021-07-01,0.10718704923623695,0.09451517957054742,0.11696738712892184
2021-08-01,0.12434188361207194,0.10807959111878121,0.13631292663815925
2021-09-01,0.14599269848795507,0.12452444404506828,0.16213683168707074
2021-10-01,0.13087801111396158,0.1160808304707101,0.14710192070576042
2021-11-01,0.11093496129916457,0.09480326601046954,0.12458209635313797
2021-12-01,0.14760271345029138,0.1295447462942683,0.16424086890126996
2022-01-01,0.1591351385630726,0.1374351789482006,0.174755134227487
2022-02-01,0.20481065835618523,0.1827452413057983,0.22559844467917356
2022-03-01,0.20220028497240417,0.1836112068541943,0.21709677645757633
2022-04-01,0.15554510482275696,0.13185276289216646,0.1727910447239206
2022-05-01,0.14854766230824681,0.13287460347998828,0.16525989005016153
2022-06-01,0.16817486243731466,0.1454316354730774,0.18449910810814119
2022-07-01,0.18096456344656875,0.15584149136532452,0.19805311350198265
2022-08-01,0.17021844358276306,0.1471805634621331,0.1873105589377812
2022-09-01,0.16558650388269264,0.15025892958195966,0.1787488743081035
2022-10-01,0.1666617911353482,0.1488163475407019,0.17844989415143575
